InsertValid	((T (T E 0 1 (T E 2 2 E)) 5 2 E) 4 3)
InsertValid	((T E 2 0 E) 6 3)
InsertValid	((T E 4 1 (T E 5 1 E)) 2 5)
InsertValid	((T E 5 3 (T E 1 0 E)) 2 2)
InsertValid	(E 3 2)
InsertValid	(E 4 5)
InsertValid	((T (T E 0 2 (T E 1 3 (T E 2 0 E))) 3 1 (T E 5 0 E)) 5 4)
InsertValid	(E 3 1)
InsertValid	((T (T (T E 0 1 E) 2 3 E) 4 1 (T E 5 0 E)) 5 6)
InsertValid	((T (T E 1 0 (T E 2 1 (T E 3 2 E))) 5 1 E) 6 6)
InsertValid	(E 1 1)
InsertValid	(E 2 1)
InsertValid	((T (T E 0 3 E) 2 0 (T E 5 0 E)) 3 6)
InsertValid	((T E 6 0 E) 6 5)
InsertValid	((T E 1 0 (T E 5 3 E)) 4 0)
InsertValid	(E 3 2)
InsertValid	((T (T E 1 0 (T E 2 3 E)) 3 0 (T E 4 1 E)) 1 2)
InsertValid	((T E 1 1 E) 1 2)
InsertValid	((T E 4 0 E) 4 5)
InsertValid	(E 0 5)
InsertValid	((T (T E 0 0 E) 1 2 (T E 4 3 E)) 6 6)
InsertValid	((T (T E 1 0 E) 3 1 (T E 5 2 E)) 2 1)
DeleteValid	((T E 1 1 (T (T E 4 3 E) 6 3 E)) 2)
DeleteValid	(E 0)
DeleteValid	((T (T E 1 2 (T E 2 1 E)) 3 1 (T (T E 4 2 E) 5 1 E)) 4)
DeleteValid	((T (T (T E 0 2 E) 6 3 E) 6 0 (T E 2 0 E)) 3)
DeleteValid	((T E 2 2 (T E 3 2 (T (T (T E 4 0 E) 5 3 E) 6 3 E))) 2)
DeleteValid	((T E 0 1 (T E 1 0 (T E 2 0 E))) 0)
DeleteValid	(E 4)
DeleteValid	((T (T (T E 2 2 E) 1 2 (T E 6 3 E)) 0 2 E) 6)
DeleteValid	(E 3)
DeleteValid	((T E 1 0 E) 1)
DeleteValid	((T E 1 3 (T E 2 1 E)) 0)
DeleteValid	(E 4)
DeleteValid	(E 6)
DeleteValid	((T (T E 2 1 E) 3 0 E) 0)
DeleteValid	((T E 1 2 (T E 4 2 (T E 6 1 E))) 5)
DeleteValid	(E 6)
DeleteValid	(E 0)
DeleteValid	((T E 1 0 (T (T E 3 1 E) 4 1 (T E 5 2 E))) 3)
DeleteValid	((T (T E 0 3 (T E 2 2 E)) 3 0 E) 5)
DeleteValid	((T (T E 3 3 E) 2 3 (T E 4 0 (T E 3 0 E))) 0)
DeleteValid	((T (T E 0 0 E) 1 1 (T (T E 2 3 E) 5 3 E)) 3)
DeleteValid	(E 3)
UnionValid	((T E 1 2 E) (T (T E 1 1 (T (T E 2 1 E) 3 1 (T E 5 1 E))) 6 3 E))
UnionValid	((T (T (T E 0 0 (T E 1 2 E)) 3 0 (T E 4 1 E)) 5 0 E) (T E 2 1 E))
UnionValid	((T E 2 3 (T (T E 3 3 E) 5 1 E)) (T (T E 0 2 E) 3 0 E))
UnionValid	(E (T E 3 2 E))
UnionValid	((T (T E 0 3 (T E 1 2 E)) 4 1 E) (T (T (T E 0 2 E) 1 3 (T E 2 1 E)) 5 0 E))
UnionValid	((T (T E 0 1 E) 2 2 (T E 3 0 (T (T E 5 2 E) 6 1 E))) (T E 0 2 (T (T E 1 1 (T E 4 2 E)) 6 1 E)))
UnionValid	((T (T E 0 3 (T E 1 3 E)) 2 3 (T E 3 2 E)) (T (T (T E 6 3 E) 5 1 (T E 0 0 E)) 5 0 E))
UnionValid	(E (T (T E 3 3 E) 5 0 (T E 6 0 E)))
UnionValid	((T (T (T E 0 1 E) 1 0 E) 3 1 (T E 4 2 (T E 5 2 E))) (T E 3 1 E))
UnionValid	((T E 2 2 (T E 5 3 E)) E)
UnionValid	((T E 1 3 (T E 5 0 E)) E)
UnionValid	(E (T E 4 2 E))
